○ 범죄 발생 및 검거 현황(전국) [],,,,,,,
죄종별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년
총계,발생건수[건],건,1849450,1662341,1580751,1611906,1587866
총계,검거건수[건],건,1552455,1413717,1328609,1342854,1289129
총계,발생건수 대비 검거건수[%],%,83.9,85,84,83.3,81.2
총계,검거인원[명],명,2029873,1833495,1728602,1749015,1684367
총계,남자검거인원[명],명,1542900,1387401,1286156,1273899,1212094
총계,여자검거인원[명],명,353591,332831,329007,347112,329160
총계,불상검거인원[명],명,133382,113263,113439,128004,143113
총계,법인체[개],개,12543,12806,12302,12620,11983
강력범죄,발생건수[건],건,25765,27274,26787,26476,24332
강력범죄,검거건수[건],건,24897,26334,25811,25507,23556
강력범죄,발생건수 대비 검거건수[%],%,96.6,96.6,96.4,96.3,96.8
강력범죄,검거인원[명],명,27487,29353,28859,29462,27491
강력범죄,남자검거인원[명],명,26278,28038,27339,27833,25862
강력범죄,여자검거인원[명],명,982,1089,1196,1333,1359
강력범죄,불상검거인원[명],명,227,226,324,296,270
강력범죄,법인체[개],개,2,-,-,2,3
살인기수,발생건수[건],건,356,301,309,297,308
살인기수,검거건수[건],건,348,301,298,299,299
살인기수,발생건수 대비 검거건수[%],%,97.8,100,96.4,100.7,97.1
살인기수,검거인원[명],명,386,354,358,362,349
살인기수,남자검거인원[명],명,304,276,289,265,258
살인기수,여자검거인원[명],명,82,72,67,82,85
살인기수,불상검거인원[명],명,-,6,2,15,6
살인기수,법인체[개],개,-,-,-,-,-
살인,발생건수[건],건,282,245,226,225,252
살인,검거건수[건],건,277,248,217,226,245
살인,발생건수 대비 검거건수[%],%,98.2,101.2,96,100.4,97.2
살인,검거인원[명],명,306,288,269,257,284
살인,남자검거인원[명],명,246,231,218,206,213
살인,여자검거인원[명],명,60,52,49,48,65
살인,불상검거인원[명],명,-,5,2,3,6
살인,법인체[개],개,-,-,-,-,-
영아살해,발생건수[건],건,8,8,7,7,5
영아살해,검거건수[건],건,7,7,7,7,5
영아살해,발생건수 대비 검거건수[%],%,87.5,87.5,100,100,100
영아살해,검거인원[명],명,7,11,6,7,6
영아살해,남자검거인원[명],명,-,2,-,-,1
영아살해,여자검거인원[명],명,7,9,6,7,5
영아살해,불상검거인원[명],명,-,-,-,-,-
영아살해,법인체[개],개,-,-,-,-,-
존속살해,발생건수[건],건,32,25,44,35,28
존속살해,검거건수[건],건,31,26,43,36,27
존속살해,발생건수 대비 검거건수[%],%,96.9,104,97.7,102.9,96.4
존속살해,검거인원[명],명,31,26,46,45,35
존속살해,남자검거인원[명],명,27,25,43,28,27
존속살해,여자검거인원[명],명,4,1,3,10,8
존속살해,불상검거인원[명],명,-,-,-,7,-
존속살해,법인체[개],개,-,-,-,-,-
촉탁·승낙살인,발생건수[건],건,1,1,1,1,1
촉탁·승낙살인,검거건수[건],건,1,-,1,1,1
촉탁·승낙살인,발생건수 대비 검거건수[%],%,100,-,100,100,100
촉탁·승낙살인,검거인원[명],명,1,1,1,1,1
촉탁·승낙살인,남자검거인원[명],명,1,1,1,1,1
촉탁·승낙살인,여자검거인원[명],명,-,-,-,-,-
촉탁·승낙살인,불상검거인원[명],명,-,-,-,-,-
촉탁·승낙살인,법인체[개],개,-,-,-,-,-
자살교사·방조,발생건수[건],건,33,22,30,26,19
자살교사·방조,검거건수[건],건,32,20,29,26,18
자살교사·방조,발생건수 대비 검거건수[%],%,97,90.9,96.7,100,94.7
자살교사·방조,검거인원[명],명,41,28,35,47,20
자살교사·방조,남자검거인원[명],명,30,17,26,26,13
자살교사·방조,여자검거인원[명],명,11,10,9,16,7
자살교사·방조,불상검거인원[명],명,-,1,-,5,-
자살교사·방조,법인체[개],개,-,-,-,-,-
위계·위력·촉탁·승낙살인,발생건수[건],건,-,-,-,1,-
위계·위력·촉탁·승낙살인,검거건수[건],건,-,-,-,1,-
위계·위력·촉탁·승낙살인,발생건수 대비 검거건수[%],%,-,-,-,100,-
위계·위력·촉탁·승낙살인,검거인원[명],명,-,-,-,1,-
위계·위력·촉탁·승낙살인,남자검거인원[명],명,-,-,-,-,-
위계·위력·촉탁·승낙살인,여자검거인원[명],명,-,-,-,1,-
위계·위력·촉탁·승낙살인,불상검거인원[명],명,-,-,-,-,-
위계·위력·촉탁·승낙살인,법인체[개],개,-,-,-,-,-
특가법(보복살인등),발생건수[건],건,-,-,1,2,3
특가법(보복살인등),검거건수[건],건,-,-,1,2,3
특가법(보복살인등),발생건수 대비 검거건수[%],%,-,-,100,100,100
특가법(보복살인등),검거인원[명],명,-,-,1,4,3
특가법(보복살인등),남자검거인원[명],명,-,-,1,4,3
특가법(보복살인등),여자검거인원[명],명,-,-,-,-,-
특가법(보복살인등),불상검거인원[명],명,-,-,-,-,-
특가법(보복살인등),법인체[개],개,-,-,-,-,-
살인미수등,발생건수[건],건,558,524,488,482,416
살인미수등,검거건수[건],건,561,525,484,481,406
살인미수등,발생건수 대비 검거건수[%],%,100.5,100.2,99.2,99.8,97.6
살인미수등,검거인원[명],명,621,567,525,534,472
살인미수등,남자검거인원[명],명,557,499,438,459,378
살인미수등,여자검거인원[명],명,61,64,81,70,79
살인미수등,불상검거인원[명],명,3,4,6,5,15
살인미수등,법인체[개],개,-,-,-,-,-
살인,발생건수[건],건,527,489,443,439,365
살인,검거건수[건],건,530,489,440,437,356
살인,발생건수 대비 검거건수[%],%,100.6,100,99.3,99.5,97.5
살인,검거인원[명],명,576,513,461,482,400
살인,남자검거인원[명],명,523,456,395,423,328
살인,여자검거인원[명],명,50,53,61,54,57
살인,불상검거인원[명],명,3,4,5,5,15
살인,법인체[개],개,-,-,-,-,-
영아살해,발생건수[건],건,-,-,-,1,1
영아살해,검거건수[건],건,-,-,-,1,1
영아살해,발생건수 대비 검거건수[%],%,-,-,-,100,100
영아살해,검거인원[명],명,1,-,-,1,1
영아살해,남자검거인원[명],명,1,-,-,-,-
영아살해,여자검거인원[명],명,-,-,-,1,1
영아살해,불상검거인원[명],명,-,-,-,-,-
영아살해,법인체[개],개,-,-,-,-,-
존속살해,발생건수[건],건,23,23,26,30,31
존속살해,검거건수[건],건,22,24,26,30,30
존속살해,발생건수 대비 검거건수[%],%,95.7,104.3,100,100,96.8
존속살해,검거인원[명],명,26,24,28,31,35
존속살해,남자검거인원[명],명,20,19,23,24,23
존속살해,여자검거인원[명],명,6,5,5,7,12
존속살해,불상검거인원[명],명,-,-,-,-,-
존속살해,법인체[개],개,-,-,-,-,-
촉탁·승낙살인,발생건수[건],건,-,-,2,-,1
촉탁·승낙살인,검거건수[건],건,-,-,2,-,1
촉탁·승낙살인,발생건수 대비 검거건수[%],%,-,-,100,-,100
촉탁·승낙살인,검거인원[명],명,-,-,5,-,1
촉탁·승낙살인,남자검거인원[명],명,-,-,3,-,1
촉탁·승낙살인,여자검거인원[명],명,-,-,2,-,-
촉탁·승낙살인,불상검거인원[명],명,-,-,-,-,-
촉탁·승낙살인,법인체[개],개,-,-,-,-,-
자살교사·방조,발생건수[건],건,8,12,16,10,18
자살교사·방조,검거건수[건],건,9,12,15,11,18
자살교사·방조,발생건수 대비 검거건수[%],%,112.5,100,93.8,110,100
자살교사·방조,검거인원[명],명,18,30,30,18,35
자살교사·방조,남자검거인원[명],명,13,24,16,11,26
자살교사·방조,여자검거인원[명],명,5,6,13,7,9
자살교사·방조,불상검거인원[명],명,-,-,1,-,-
자살교사·방조,법인체[개],개,-,-,-,-,-
위계·위력·촉탁·승낙살인,발생건수[건],건,-,-,1,2,-
위계·위력·촉탁·승낙살인,검거건수[건],건,-,-,1,2,-
위계·위력·촉탁·승낙살인,발생건수 대비 검거건수[%],%,-,-,100,100,-
